trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,1,2026-03-13T07:36:36.269910+00:00,order,add,bid,,644203c7-32fa-4cfc-84fd-8bc63fd79dde,370dd587-70f9-4345-86d1-4d0300c13a22,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387396.272627
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,2,2026-03-13T07:36:36.275612+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,3acedfeb-502b-4ea0-ae0a-6fe98802c630,,644203c7-32fa-4cfc-84fd-8bc63fd79dde,c124ee60-0a87-475e-bed0-e67434c5b710,370dd587-70f9-4345-86d1-4d0300c13a22,0fa89cc8-fd62-4858-bb94-10768073ae75,1773387396.277699
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,3,2026-03-13T07:36:36.278444+00:00,order,fill,ask,,c124ee60-0a87-475e-bed0-e67434c5b710,0fa89cc8-fd62-4858-bb94-10768073ae75,120.0,1.0,-1.0,0.0,,,executed,3acedfeb-502b-4ea0-ae0a-6fe98802c630,644203c7-32fa-4cfc-84fd-8bc63fd79dde,,,,,1773387396.279986
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,4,2026-03-13T07:36:36.281535+00:00,order,fill,bid,,644203c7-32fa-4cfc-84fd-8bc63fd79dde,370dd587-70f9-4345-86d1-4d0300c13a22,120.0,1.0,-1.0,0.0,,,executed,3acedfeb-502b-4ea0-ae0a-6fe98802c630,c124ee60-0a87-475e-bed0-e67434c5b710,,,,,1773387396.284538
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,5,2026-03-13T07:36:36.289508+00:00,order,add,bid,,9f70c823-4172-474d-925b-b9ef764febc3,370dd587-70f9-4345-86d1-4d0300c13a22,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387396.291171
f90feeb0-9aa5-4521-b234-6e6648ea12c3,True,1,1,6,2026-03-13T07:36:36.293472+00:00,order,add,ask,,a75160ec-ab8d-47cd-bad6-2c8edd28a74c,0fa89cc8-fd62-4858-bb94-10768073ae75,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387396.295478
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,1,2026-03-13T07:36:37.316793+00:00,order,add,bid,,9912518e-1ac2-4086-bc4b-896b45ff6535,5e1e1138-bbce-43d0-b03e-5b9e3ffe1520,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387397.319193
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,2,2026-03-13T07:36:37.321757+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,15ca4214-3941-4d58-8f59-d70888bb1266,,9912518e-1ac2-4086-bc4b-896b45ff6535,7e4413dd-1515-4239-a87e-6daf9874545b,5e1e1138-bbce-43d0-b03e-5b9e3ffe1520,9b527330-5041-4a3d-b33a-96f8c60e2826,1773387397.32426
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,3,2026-03-13T07:36:37.325122+00:00,order,fill,ask,,7e4413dd-1515-4239-a87e-6daf9874545b,9b527330-5041-4a3d-b33a-96f8c60e2826,120.0,1.0,-1.0,0.0,,,executed,15ca4214-3941-4d58-8f59-d70888bb1266,9912518e-1ac2-4086-bc4b-896b45ff6535,,,,,1773387397.327179
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,4,2026-03-13T07:36:37.328332+00:00,order,fill,bid,,9912518e-1ac2-4086-bc4b-896b45ff6535,5e1e1138-bbce-43d0-b03e-5b9e3ffe1520,120.0,1.0,-1.0,0.0,,,executed,15ca4214-3941-4d58-8f59-d70888bb1266,7e4413dd-1515-4239-a87e-6daf9874545b,,,,,1773387397.330216
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,5,2026-03-13T07:36:37.334919+00:00,order,add,bid,,a0c1924f-a895-4cce-ac5c-29fab9b2039b,5e1e1138-bbce-43d0-b03e-5b9e3ffe1520,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387397.336779
0f9e1084-f528-4ba8-afb0-99350c47e69f,True,2,1,6,2026-03-13T07:36:37.338781+00:00,order,add,ask,,b7469077-2144-4fe6-994d-e65041985b60,9b527330-5041-4a3d-b33a-96f8c60e2826,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773387397.340613
